Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,512.250000,516.400024,508.200012,515.150024,515.150024,10185843
2021-01-04,517.000000,520.500000,511.600006,517.099976,517.099976,13240524
2021-01-05,514.000000,516.900024,511.100006,514.000000,514.000000,10492428
2021-01-06,515.000000,531.750000,513.099976,525.299988,525.299988,30269288
2021-01-07,532.000000,554.450012,527.099976,545.250000,545.250000,38717913
2021-01-08,549.299988,549.750000,537.299988,540.250000,540.250000,14270435
2021-01-11,541.500000,554.349976,541.500000,547.150024,547.150024,19525604
2021-01-12,549.000000,569.000000,545.000000,565.750000,565.750000,25380555
2021-01-13,588.000000,601.700012,567.000000,578.250000,578.250000,83668562
2021-01-14,582.700012,584.799988,570.049988,580.549988,580.549988,16661518
2021-01-15,609.549988,610.650024,593.799988,602.650024,602.650024,56392307
2021-01-18,602.650024,603.000000,584.000000,586.950012,586.950012,20965905
2021-01-19,591.099976,597.450012,586.500000,592.299988,592.299988,10830923
2021-01-20,592.299988,602.500000,589.000000,596.150024,596.150024,13087294
2021-01-21,600.250000,604.049988,574.400024,581.349976,581.349976,17060331
2021-01-22,583.900024,585.549988,572.750000,576.849976,576.849976,12429589
2021-01-25,579.000000,587.849976,569.549988,580.750000,580.750000,12273498
2021-01-27,580.000000,581.750000,562.349976,570.799988,570.799988,15280757
2021-01-28,566.500000,575.849976,562.750000,570.900024,570.900024,14921448
2021-01-29,578.500000,578.500000,550.599976,553.599976,553.599976,25051621
2021-02-01,559.000000,581.099976,549.200012,579.150024,579.150024,13951025
2021-02-02,584.900024,605.650024,579.250000,599.349976,599.349976,21311866
2021-02-03,609.400024,622.500000,599.450012,608.849976,608.849976,30076561
2021-02-04,614.900024,623.000000,595.650024,600.599976,600.599976,51018799
2021-02-05,603.799988,605.900024,576.250000,581.099976,581.099976,34811620
2021-02-08,589.000000,603.650024,584.700012,597.299988,597.299988,21247165
2021-02-09,598.900024,607.750000,595.000000,598.950012,598.950012,20541765
2021-02-10,604.950012,607.750000,580.250000,590.200012,590.200012,31059522
2021-02-11,592.000000,603.549988,589.000000,598.099976,598.099976,18898771
2021-02-12,597.849976,597.849976,584.599976,586.250000,586.250000,15611939
2021-02-15,592.099976,603.000000,590.000000,593.700012,593.700012,17641523
2021-02-16,595.000000,601.599976,593.000000,593.950012,593.950012,14787224
2021-02-17,596.950012,598.799988,590.049988,593.849976,593.849976,16133750
2021-02-18,597.000000,598.000000,585.200012,589.049988,589.049988,21784559
2021-02-19,590.000000,596.000000,575.500000,581.349976,581.349976,19106404
2021-02-22,582.000000,584.900024,568.000000,570.299988,570.299988,19854892
2021-02-23,575.000000,577.000000,564.000000,565.549988,565.549988,23326447
2021-02-24,568.099976,574.099976,565.200012,572.950012,572.950012,8725136
2021-02-25,579.900024,584.450012,577.049988,579.150024,579.150024,15931134
2021-02-26,574.500000,585.950012,551.750000,556.299988,556.299988,194887984
2021-03-01,558.000000,559.099976,521.000000,532.200012,532.200012,54075848
2021-03-02,540.500000,544.000000,528.849976,541.200012,541.200012,30058411
2021-03-03,548.750000,550.750000,540.000000,546.299988,546.299988,24214390
2021-03-04,540.000000,546.000000,538.000000,539.599976,539.599976,17352483
2021-03-05,535.000000,538.500000,524.400024,532.799988,532.799988,16351700
2021-03-08,531.000000,535.450012,524.750000,525.700012,525.700012,15011518
2021-03-09,530.099976,532.000000,514.299988,521.750000,521.750000,19809833
2021-03-10,520.200012,530.500000,516.349976,525.849976,525.849976,18663334
2021-03-12,530.549988,532.750000,521.549988,524.200012,524.200012,11410264
2021-03-15,527.799988,527.799988,516.400024,522.849976,522.849976,10675512
2021-03-16,524.000000,533.750000,524.000000,529.299988,529.299988,13007824
2021-03-17,528.799988,531.000000,519.000000,522.900024,522.900024,8326430
2021-03-18,529.849976,532.200012,515.349976,527.200012,527.200012,12235615
2021-03-19,528.000000,534.750000,525.500000,529.950012,529.950012,48683525
2021-03-22,533.049988,534.000000,523.000000,528.000000,528.000000,13331409
2021-03-23,529.700012,532.450012,522.150024,529.250000,529.250000,14958494
2021-03-24,528.000000,533.450012,521.500000,523.650024,523.650024,10602439
2021-03-25,523.400024,523.650024,499.549988,507.750000,507.750000,17248482
2021-03-26,512.099976,524.900024,510.600006,522.500000,522.500000,10943035
2021-03-30,527.799988,527.900024,516.250000,521.500000,521.500000,10494098
2021-03-31,522.349976,525.900024,516.250000,517.299988,517.299988,7570387
2021-04-01,519.950012,523.900024,514.549988,520.799988,520.799988,6980458
2021-04-05,520.799988,529.000000,514.599976,528.250000,528.250000,9203847
2021-04-06,528.500000,537.849976,524.549988,532.200012,532.200012,12873443
2021-04-07,537.000000,546.900024,535.250000,541.599976,541.599976,20997280
2021-04-08,546.799988,548.549988,540.500000,543.000000,543.000000,11157958
2021-04-09,539.500000,549.750000,536.500000,545.250000,545.250000,11426998
2021-04-12,537.549988,538.849976,518.500000,522.450012,522.450012,9687846
2021-04-13,526.400024,540.000000,523.099976,536.150024,536.150024,6535007
2021-04-15,540.000000,546.150024,530.250000,539.349976,539.349976,9805711
2021-04-16,540.049988,544.150024,538.000000,540.750000,540.750000,6157781
2021-04-19,532.250000,535.000000,523.250000,526.450012,526.450012,7232945
2021-04-20,529.000000,537.000000,525.900024,530.200012,530.200012,7233304
2021-04-22,530.000000,533.400024,526.049988,530.849976,530.849976,6552131
2021-04-23,529.000000,532.450012,519.099976,522.599976,522.599976,6992388
2021-04-26,522.750000,528.500000,522.750000,527.549988,527.549988,5819893
2021-04-27,527.450012,538.549988,526.250000,534.299988,534.299988,9693047
2021-04-28,535.950012,548.000000,535.599976,544.299988,544.299988,11970652
2021-04-29,549.700012,550.000000,539.099976,540.849976,540.849976,8683857
2021-04-30,533.500000,547.000000,533.500000,536.750000,536.750000,8178192
2021-05-03,530.000000,562.500000,529.049988,558.849976,558.849976,14288088
2021-05-04,565.950012,565.950012,546.700012,552.450012,552.450012,13934607
2021-05-05,556.900024,564.950012,554.000000,559.950012,559.950012,11872729
2021-05-06,559.950012,564.400024,552.599976,558.750000,558.750000,9000753
2021-05-07,561.200012,572.900024,556.900024,568.500000,568.500000,12656867
2021-05-10,572.000000,577.000000,569.099976,572.549988,572.549988,8211446
2021-05-11,565.500000,574.849976,564.049988,568.400024,568.400024,7885422
2021-05-12,568.000000,569.150024,558.200012,561.750000,561.750000,6689476
2021-05-14,564.000000,569.349976,556.150024,560.400024,560.400024,7555855
2021-05-17,563.950012,563.950012,545.799988,549.650024,549.650024,13424956
2021-05-18,547.500000,552.900024,534.549988,536.349976,536.349976,34324460
2021-05-19,537.900024,540.549988,526.200012,528.200012,528.200012,19223054
2021-05-20,531.000000,531.000000,520.000000,520.650024,520.650024,13777903
2021-05-21,523.250000,533.299988,522.000000,530.950012,530.950012,10299402
2021-05-24,531.000000,533.000000,526.000000,526.799988,526.799988,6268351
2021-05-25,529.900024,530.799988,524.500000,526.099976,526.099976,9239443
2021-05-26,529.000000,530.799988,525.000000,525.750000,525.750000,6781577
2021-05-27,526.099976,527.000000,518.700012,519.799988,519.799988,22363299
2021-05-28,522.250000,528.500000,520.400024,523.599976,523.599976,10060110
2021-05-31,525.500000,536.000000,525.099976,534.900024,534.900024,12567516
2021-06-01,537.450012,538.400024,530.299988,532.900024,532.900024,8280431
2021-06-02,529.900024,534.599976,528.000000,529.500000,529.500000,10372845
2021-06-03,530.000000,533.400024,528.500000,532.049988,532.049988,6174103
2021-06-04,533.950012,535.799988,531.200012,532.700012,532.700012,4788898
2021-06-07,534.000000,541.000000,533.000000,536.450012,536.450012,9496183
2021-06-08,538.099976,548.000000,534.000000,546.799988,546.799988,12586649
2021-06-09,549.900024,551.500000,535.349976,540.000000,540.000000,12440819
2021-06-10,543.900024,547.849976,540.349976,545.150024,545.150024,6888855
2021-06-11,545.500000,549.750000,540.049988,540.849976,540.849976,7634036
2021-06-14,540.849976,540.849976,529.299988,539.349976,539.349976,5609077
2021-06-15,541.000000,543.650024,538.400024,542.500000,542.500000,7130896
2021-06-16,543.799988,543.799988,534.900024,536.750000,536.750000,9860470
2021-06-17,539.500000,541.250000,527.049988,528.650024,528.650024,10026485
2021-06-18,531.400024,541.900024,519.000000,538.750000,538.750000,14723907
2021-06-21,535.000000,541.900024,533.000000,539.599976,539.599976,5637000
2021-06-22,548.049988,549.000000,535.500000,536.400024,536.400024,8946586
2021-06-23,538.000000,539.200012,532.700012,534.049988,534.049988,4679563
2021-06-24,535.000000,535.450012,527.400024,528.750000,528.750000,6301610
2021-06-25,531.299988,535.900024,529.349976,535.099976,535.099976,5402768
2021-06-28,537.000000,537.000000,530.450012,531.200012,531.200012,5168753
2021-06-29,531.250000,532.250000,524.000000,524.950012,524.950012,8553386
2021-06-30,527.000000,530.400024,524.349976,525.650024,525.650024,5654391
2021-07-01,529.000000,531.000000,522.000000,522.650024,522.650024,6454014
2021-07-02,525.599976,533.000000,520.000000,525.000000,525.000000,13063791
2021-07-05,528.000000,528.500000,523.299988,523.950012,523.950012,6256128
2021-07-06,523.500000,527.700012,521.099976,526.099976,526.099976,10300966
